EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,GoalGesture,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ
-3,46,-48,1,-2,-3,-4,-1,extension,0.0,0.8,0.6,0.05107996,0.879958,0.3636312
4,-6,-67,-33,-8,-5,-5,-4,extension,0.0,0.8,0.6,0.05107996,0.879958,0.3636312
-10,-66,-36,-28,0,0,-3,-4,extension,0.0,0.8,0.6,0.05107722,0.8800749,0.3636224
13,11,21,32,4,0,-1,2,extension,0.0,0.8,0.6,0.05107722,0.8800749,0.3636224
5,39,54,25,4,2,2,2,extension,0.0,0.8,0.6,0.05107722,0.8800749,0.3636224
-5,-53,11,13,-4,-5,-4,-3,extension,0.0,0.8,0.6,0.05107722,0.8800749,0.3636224
3,15,-53,4,11,6,5,7,extension,0.0,0.8,0.6,0.05099136,0.8801584,0.3636508
22,31,101,-3,-21,-13,-8,-6,extension,0.0,0.8,0.6,0.05099136,0.8801584,0.3636508
9,-7,3,-7,-3,-1,0,2,extension,0.0,0.8,0.6,0.0508616,0.8806247,0.3641261
14,68,24,18,9,5,3,6,extension,0.0,0.8,0.6,0.0508616,0.8806247,0.3641261
-12,-54,-56,-2,-3,-2,-2,-5,extension,0.0,0.8,0.6,0.05076918,0.8805534,0.3642436
20,17,8,16,11,5,5,7,extension,0.0,0.8,0.6,0.05076918,0.8805534,0.3642436
-8,-10,-54,-11,-8,-7,-3,-5,extension,0.0,0.8,0.6,0.05070972,0.8805377,0.3642249
4,27,110,2,-6,-3,-1,0,extension,0.0,0.8,0.6,0.05070972,0.8805377,0.3642249
4,17,-123,-1,1,0,0,1,extension,0.0,0.8,0.6,0.05055496,0.8810802,0.364735
-1,-39,-1,4,5,3,2,3,extension,0.0,0.8,0.6,0.05052316,0.8811014,0.3644876
-26,-27,31,42,-8,-9,-5,-8,extension,0.0,0.8,0.6,0.05052316,0.8811014,0.3644876
6,19,-73,12,11,7,4,3,extension,0.0,0.8,0.6,0.05052316,0.8811014,0.3644876
4,60,63,23,-3,-3,-1,2,extension,0.0,0.8,0.6,0.05053583,0.8811827,0.3644624
8,-26,-77,0,3,4,2,5,extension,0.0,0.8,0.6,0.05053583,0.8811827,0.3644624
-10,-7,18,25,7,2,0,-2,extension,0.0,0.8,0.6,0.05032295,0.8816617,0.3648379
-17,-31,9,-42,-4,-2,-3,-5,extension,0.0,0.8,0.6,0.05032295,0.8816617,0.3648379
-25,-26,16,-10,-13,-9,-5,-10,extension,0.0,0.8,0.6,0.05028474,0.8814222,0.364841
-11,49,85,8,2,-1,-1,0,extension,0.0,0.8,0.6,0.05028474,0.8814222,0.364841
24,46,33,18,10,6,3,6,extension,0.0,0.8,0.6,0.05028474,0.8814222,0.364841
-4,-68,97,-20,-2,2,-1,-1,extension,0.0,0.8,0.6,0.05028474,0.8814222,0.364841
-23,-72,40,-33,-16,-10,-6,-7,extension,0.0,0.8,0.6,0.04989249,0.8828487,0.3649259
1,7,29,-10,-4,-2,-3,-6,extension,0.0,0.8,0.6,0.04989249,0.8828487,0.3649259
-25,-8,-3,-16,1,1,1,-1,extension,0.0,0.8,0.6,0.04977992,0.8834078,0.3653229
8,-13,-105,-22,0,-2,-1,-4,extension,0.0,0.8,0.6,0.04977992,0.8834078,0.3653229
-5,-49,22,-24,-4,-1,0,-1,extension,0.0,0.8,0.6,0.04977992,0.8834078,0.3653229
-8,-38,24,22,-2,0,-3,2,extension,0.0,0.8,0.6,0.04977992,0.8834078,0.3653229
-7,-12,-24,-10,-6,-2,-2,-2,extension,0.0,0.8,0.6,0.04977992,0.8834078,0.3653229
24,25,-5,2,6,4,2,10,extension,0.0,0.8,0.6,0.04977992,0.8834078,0.3653229
-30,-59,57,12,6,3,-2,-10,extension,0.0,0.8,0.6,0.04959354,0.8842268,0.3653653
2,-3,-22,-24,-2,1,1,1,extension,0.0,0.8,0.6,0.04959354,0.8842268,0.3653653
-6,13,39,-5,-3,-3,-1,-5,extension,0.0,0.8,0.6,0.04959354,0.8842268,0.3653653
-5,19,-1,14,2,1,-1,-1,extension,0.0,0.8,0.6,0.04959354,0.8842268,0.3653653
-9,-18,-12,-21,-7,-4,-3,-6,extension,0.0,0.8,0.6,0.04959354,0.8842268,0.3653653
8,26,9,44,9,4,2,3,extension,0.0,0.8,0.6,0.04959354,0.8842268,0.3653653
2,-25,109,-28,-11,-4,-2,1,extension,0.0,0.8,0.6,0.04959354,0.8842268,0.3653653
4,-8,75,4,-3,-4,-2,-2,extension,0.0,0.8,0.6,0.04959354,0.8842268,0.3653653
14,13,-76,21,-6,-4,-1,4,extension,0.0,0.8,0.6,0.04959354,0.8842268,0.3653653
-3,4,-9,-15,-1,-1,-1,-4,extension,0.0,0.8,0.6,0.04959354,0.8842268,0.3653653
-10,-12,59,1,-1,-2,-3,-5,extension,0.0,0.8,0.6,0.04943275,0.8844383,0.3648802
-1,-20,-96,15,-1,-1,-2,1,extension,0.0,0.8,0.6,0.04943275,0.8844383,0.3648802
4,-29,-128,-53,-5,-4,-2,-2,extension,0.0,0.8,0.6,0.04943275,0.8844383,0.3648802
-2,29,42,23,2,1,1,-3,extension,0.0,0.8,0.6,0.04943275,0.8844383,0.3648802
50,62,26,18,12,8,7,15,extension,0.0,0.8,0.6,0.04897156,0.8851944,0.3652209
-44,21,88,-14,-11,-8,-8,-15,extension,0.0,0.8,0.6,0.04897156,0.8851944,0.3652209
20,53,-57,0,2,2,2,9,extension,0.0,0.8,0.6,0.04903147,0.8857615,0.365646
0,-14,-68,-7,2,2,0,1,extension,0.0,0.8,0.6,0.04903147,0.8857615,0.365646
11,-13,-128,-14,0,0,-2,0,extension,0.0,0.8,0.6,0.04903147,0.8857615,0.365646
-6,-8,-10,-8,0,-1,0,0,extension,0.0,0.8,0.6,0.04903147,0.8857615,0.365646
6,60,42,32,-1,1,-2,0,extension,0.0,0.8,0.6,0.04903147,0.8857615,0.365646
-15,-42,-6,-21,-4,-4,-3,-3,extension,0.0,0.8,0.6,0.04903147,0.8857615,0.365646
38,91,-13,45,22,15,9,15,extension,0.0,0.8,0.6,0.04891193,0.886103,0.3656296
-15,13,30,-18,-4,-3,0,1,extension,0.0,0.8,0.6,0.04891193,0.886103,0.3656296
-41,-27,-78,-37,-13,-8,-6,-13,extension,0.0,0.8,0.6,0.04891193,0.886103,0.3656296
12,33,104,21,2,0,2,3,extension,0.0,0.8,0.6,0.04891193,0.886103,0.3656296
40,33,48,10,3,1,0,3,extension,0.0,0.8,0.6,0.04855019,0.8867357,0.3658131
-12,0,-58,-26,-10,-5,-1,-1,extension,0.0,0.8,0.6,0.04855019,0.8867357,0.3658131
10,3,-79,27,7,4,4,5,extension,0.0,0.8,0.6,0.04838628,0.8872083,0.3661773
25,24,127,4,-2,-2,-2,0,extension,0.0,0.8,0.6,0.04838628,0.8872083,0.3661773
-13,-36,-26,-10,-2,-4,-3,-7,extension,0.0,0.8,0.6,0.04838628,0.8872083,0.3661773
3,45,79,25,3,1,0,-4,extension,0.0,0.8,0.6,0.04838628,0.8872083,0.3661773
-13,-82,-62,-37,-5,-4,-5,-4,extension,0.0,0.8,0.6,0.04834354,0.8872586,0.3660976
-2,-13,-61,-14,0,0,0,-2,extension,0.0,0.8,0.6,0.04834354,0.8872586,0.3660976
-2,19,33,19,4,0,-2,-5,extension,0.0,0.8,0.6,0.04834354,0.8872586,0.3660976
-11,52,89,26,-4,-4,-2,-1,extension,0.0,0.8,0.6,0.04834354,0.8872586,0.3660976
-17,-9,-7,-25,-13,-9,-3,-8,extension,0.0,0.8,0.6,0.04834354,0.8872586,0.3660976
15,15,44,13,8,2,0,-2,extension,0.0,0.8,0.6,0.04834354,0.8872586,0.3660976
-18,6,31,6,1,-1,1,0,extension,0.0,0.8,0.6,0.04819363,0.8877509,0.3664272
-30,-31,-78,-27,-9,-7,-5,-7,extension,0.0,0.8,0.6,0.04819363,0.8877509,0.3664272
32,72,81,40,15,9,6,8,extension,0.0,0.8,0.6,0.04819363,0.8877509,0.3664272
1,-39,50,-1,-2,0,-2,-2,extension,0.0,0.8,0.6,0.04819363,0.8877509,0.3664272
-25,-54,-128,-57,-19,-11,-7,-11,extension,0.0,0.8,0.6,0.04831943,0.8876833,0.3664057
3,-30,-15,-12,-4,-3,-2,0,extension,0.0,0.8,0.6,0.04831943,0.8876833,0.3664057
7,4,71,30,1,-2,-1,2,extension,0.0,0.8,0.6,0.04831943,0.8876833,0.3664057
2,40,-65,-9,2,3,2,4,extension,0.0,0.8,0.6,0.04831943,0.8876833,0.3664057
-33,-23,85,11,-19,-11,-6,-5,extension,0.0,0.8,0.6,0.04851729,0.8879907,0.3666331
12,23,-79,-17,8,8,4,6,extension,0.0,0.8,0.6,0.04851729,0.8879907,0.3666331
16,-14,46,13,4,2,-1,1,extension,0.0,0.8,0.6,0.04851729,0.8879907,0.3666331
-16,-31,-71,-11,-3,-2,-1,-3,extension,0.0,0.8,0.6,0.04851729,0.8879907,0.3666331
19,81,127,58,14,7,5,5,extension,0.0,0.8,0.6,0.04838294,0.8882531,0.3669145
-2,-27,-14,-65,-10,-5,-2,-1,extension,0.0,0.8,0.6,0.04838294,0.8882531,0.3669145
-10,-3,68,10,-4,-1,-1,-3,extension,0.0,0.8,0.6,0.04838353,0.8882596,0.3668977
8,77,127,39,10,2,3,3,extension,0.0,0.8,0.6,0.04838353,0.8882596,0.3668977
-9,-43,-128,11,3,2,-1,-2,extension,0.0,0.8,0.6,0.04838353,0.8882596,0.3668977
-2,-11,83,-56,-13,-6,-3,-5,extension,0.0,0.8,0.6,0.04838353,0.8882596,0.3668977
-2,84,97,11,0,-2,0,1,extension,0.0,0.8,0.6,0.04838353,0.8882596,0.3668977
-9,-21,-84,-6,-2,-3,-3,-1,extension,0.0,0.8,0.6,0.04838353,0.8882596,0.3668977
